isocode3,country,continent,datasource,year,gdlcode,level,region,sgdi,shdif,shdim,healthindexf,healthindexm,edindexf,edindexm,incindexf,incindexm,shdi,healthindex,edindex,incindex,lifexp,lifexpf,lifexpm,esch,eschf,eschm,msch,mschf,mschm,lgnic,lgnicf,lgnicm,pop
CIV,Cote d'Ivoire,Africa,,2022,CIVr101,Subnat,Abidjan,0.863,0.525,0.609,0.627,0.655,0.359,0.477,0.644,0.724,0.569,0.636,0.419,0.689,61.324,63.249,60.043,6.464,6.153,6.809,7.189,5.65,8.641,9.17,8.871,9.399,5983.552
CIV,Cote d'Ivoire,Africa,,2022,CIVr102,Subnat,Yamoussoukro,0.894,0.584,0.653,0.636,0.661,0.507,0.605,0.618,0.696,0.619,0.643,0.557,0.662,61.793,63.822,60.495,13.472,13.294,13.563,5.49,4.127,6.846,8.986,8.693,9.211,244.997
CIV,Cote d'Ivoire,Africa,,2022,CIVr103,Subnat,Bas Sassandra,0.867,0.481,0.555,0.6,0.633,0.362,0.462,0.513,0.585,0.52,0.614,0.414,0.553,59.918,61.522,58.674,11.112,10.391,11.755,3.16,2.204,4.067,8.268,7.999,8.475,1160.496
CIV,Cote d'Ivoire,Africa,,2022,CIVr104,Subnat,Comoe,0.887,0.547,0.617,0.674,0.692,0.425,0.524,0.572,0.648,0.582,0.675,0.475,0.615,63.865,66.337,62.47,12.055,11.425,12.718,4.196,3.216,5.113,8.676,8.393,8.893,1642.041
CIV,Cote d'Ivoire,Africa,,2022,CIVr105,Subnat,Denguele,0.822,0.39,0.474,0.435,0.499,0.245,0.34,0.556,0.63,0.44,0.486,0.293,0.598,51.572,50.801,49.904,8.173,7.484,8.756,1.968,1.102,2.895,8.565,8.285,8.779,835.523
CIV,Cote d'Ivoire,Africa,,2022,CIVr106,Subnat,Goh-Djiboua,0.866,0.51,0.589,0.609,0.64,0.399,0.514,0.546,0.62,0.551,0.621,0.458,0.588,60.384,62.096,59.13,11.879,11.267,12.42,3.854,2.575,5.081,8.496,8.219,8.708,1504.055
CIV,Cote d'Ivoire,Africa,,2022,CIVr107,Subnat,Lacs,0.869,0.503,0.578,0.566,0.606,0.423,0.529,0.53,0.603,0.542,0.587,0.475,0.571,58.14,59.315,56.912,12.994,12.684,13.165,3.429,2.134,4.902,8.385,8.112,8.595,2409.416
CIV,Cote d'Ivoire,Africa,,2022,CIVr108,Subnat,Lagunes,0.877,0.527,0.601,0.631,0.658,0.427,0.535,0.544,0.618,0.566,0.64,0.483,0.586,61.568,63.547,60.278,12.34,11.718,12.81,4.216,3.046,5.367,8.483,8.206,8.695,2244.958
CIV,Cote d'Ivoire,Africa,,2022,CIVr109,Subnat,Montagnes,0.843,0.446,0.53,0.517,0.566,0.347,0.463,0.496,0.567,0.492,0.547,0.406,0.536,55.583,56.084,54.299,11.289,10.52,12.036,2.787,1.643,3.856,8.154,7.888,8.358,2993.747
CIV,Cote d'Ivoire,Africa,,2022,CIVr110,Subnat,Sassandra-Marahoue,0.852,0.47,0.551,0.559,0.6,0.354,0.468,0.524,0.596,0.512,0.581,0.409,0.565,57.751,58.829,56.521,11.353,10.606,12.065,2.807,1.773,3.972,8.344,8.072,8.553,3541.188
CIV,Cote d'Ivoire,Africa,,2022,CIVr111,Subnat,Savanes,0.886,0.441,0.498,0.549,0.593,0.298,0.349,0.523,0.595,0.471,0.573,0.323,0.564,57.257,58.209,56.022,9.233,9.239,9.189,2.01,1.252,2.821,8.338,8.066,8.546,1376.487
CIV,Cote d'Ivoire,Africa,,2022,CIVr112,Subnat,Vallee du Bandama,0.88,0.518,0.589,0.6,0.633,0.414,0.508,0.56,0.635,0.554,0.614,0.461,0.602,59.88,61.475,58.637,12.344,11.731,12.896,3.543,2.655,4.49,8.593,8.313,8.808,1139.939
CIV,Cote d'Ivoire,Africa,,2022,CIVr113,Subnat,Woroba,0.844,0.383,0.453,0.476,0.533,0.232,0.302,0.509,0.58,0.423,0.516,0.267,0.549,53.549,53.448,52.129,7.703,7.26,8.119,1.585,0.902,2.282,8.241,7.972,8.447,1259.339
CIV,Cote d'Ivoire,Africa,,2022,CIVr114,Subnat,Zanzan,0.886,0.461,0.52,0.628,0.655,0.304,0.367,0.513,0.585,0.491,0.636,0.336,0.554,61.358,63.291,60.076,9.387,9.358,9.293,2.258,1.312,3.254,8.271,8.001,8.478,1829.309
